Site,Core,Bag,Top_cm,Bottom_cm,Horizon1,Horizon2,SiteAge,BurnYear,AvgPithYear,Orientation,Date_processed,Date_sampled,Burned,Ice1,Ice2,Ice_cm,Macrofossil_bag,Roots,Color,Texture,BagID_A,BagID_B,Bag_mass_g,Wet_g,Dry_g,%SoilMoisture,Thickness_cm,Diameter_cm,Height_cm,Volume_cm3,BulkDensity_g/cm3,Comments
Apex Beta,2,3,82.5,85.6,M,M,Mature,NA,1938,Horizontal,1/19/16 0:11,4/9/15,No,Onv,NA,0,M291,NA,NA,NA,2396,2397,4.973,70.598,18.963,78.68,3.1,7.3,3.8,68.3,0.20493052,Transitions from sedge into sphagnum peat
Apex Beta,2,3,85.6,89.5,M,NA,Mature,NA,1938,NA,1/19/16 0:13,4/9/15,Yes,Oil,NA,0.5,M293,NA,NA,NA,2398,2399,4.986,62.463,11.519,88.63,3.9,NA,NA,NA,NA,
Apex Beta,3,1,0,2,L,NA,Mature,NA,1938,NA,9/11/15 17:12,4/15/15,No,Onv,NA,0,NA,2v,NA,NA,762,763,5.038,25.539,5.884,95.87,2,NA,NA,NA,NA,
Apex Beta,3,1,2,5.2,D,NA,Mature,NA,1938,NA,9/11/15 17:15,4/15/15,No,Onv,NA,0,M111,3v,NA,NA,764,765,5.033,52.447,6.312,97.30,3.2,7.4,3.5,64.1,0.019959503,
Apex Beta,3,1,5.2,8.1,D,NA,Mature,NA,1938,NA,9/11/15 17:16,4/15/15,No,Onv,NA,0,NA,3v,NA,NA,766,767,5.036,47.852,6.248,97.17,2.9,7.1,3.5,56.4,0.021497435,
Apex Beta,3,1,8.1,11.3,D,NA,Mature,NA,1938,NA,9/11/15 17:16,4/15/15,No,Onv,NA,0,NA,3v,NA,NA,768,769,5.025,60.43,6.549,97.25,3.2,7.4,3.8,71.2,0.021410161,
Apex Beta,3,1,11.3,14.2,D,NA,Mature,NA,1938,NA,9/11/15 17:17,4/15/15,No,Onv,NA,0,NA,2v,NA,NA,770,771,5.084,60.429,6.588,97.28,2.9,7.3,3.8,63.9,0.023550518,
Apex Beta,3,1,14.2,17.5,D,NA,Mature,NA,1938,NA,9/11/15 17:18,4/15/15,No,Onv,NA,0,NA,2v,NA,NA,772,773,5.051,67.66,7.324,96.37,3.3,7.2,3.7,69.6,0.032678934,
Apex Beta,3,1,17.5,20.7,D,NA,Mature,NA,1938,NA,9/11/15 17:20,4/15/15,No,Onv,NA,0,NA,2v,NA,NA,774,775,5.086,68.267,6.457,97.83,3.2,7.2,3.6,65.1,0.021045662,
Apex Beta,3,1,20.7,23.8,D,NA,Mature,NA,1938,NA,9/11/15 17:20,4/15/15,No,Onv,NA,0,NA,2v,NA,NA,776,777,5.043,63.851,6.573,97.40,3.1,7.3,3.7,66.0,0.023180076,
Apex Beta,3,1,23.8,27.2,D,NA,Mature,NA,1938,NA,9/11/15 17:21,4/15/15,No,Onv,NA,0,NA,2v,NA,NA,778,779,5.053,68.609,7.208,96.61,3.4,7.3,3.8,74.9,0.028781868,
Apex Beta,3,1,27.2,30.4,D,NA,Mature,NA,1938,NA,9/11/15 17:32,4/15/15,No,Onv,NA,0,NA,2v,NA,NA,780,781,5.056,62.994,7.395,95.96,3.2,7.3,3.7,68.1,0.034329333,
Apex Beta,3,1,30.4,33.5,D,NA,Mature,NA,1938,NA,9/11/15 17:33,4/15/15,No,Onv,NA,0,NA,2v,NA,NA,782,783,5.057,67.051,7.931,95.36,3.1,7.3,3.7,66.0,0.043542182,
Apex Beta,3,1,33.5,37.2,D,NA,Mature,NA,1938,NA,9/11/15 17:34,4/15/15,No,Onv,NA,0,NA,2v,NA,NA,784,785,5.048,78.583,9.859,93.46,3.7,7.3,3.6,76.1,0.063236734,
Apex Beta,3,1,37.2,40.4,F,NA,Mature,NA,1938,NA,9/11/15 17:35,4/15/15,No,Onv,NA,0,M112,2v,NA,NA,786,787,5.102,63.851,11.074,89.83,3.2,7.2,3.6,65.1,0.091673738,
Apex Beta,3,1,40.4,44,F,NA,Mature,NA,1938,NA,9/11/15 17:36,4/15/15,No,Onv,NA,0,NA,2v,NA,NA,788,789,5.108,68.002,13.027,87.41,3.6,NA,NA,NA,NA,
Apex Beta,3,2,44,45.6,F,NA,Mature,NA,1938,NA,9/11/15 17:49,4/15/15,No,Onv,NA,0,NA,2v,NA,NA,790,791,5.085,26.022,8.276,84.76,1.6,NA,NA,NA,NA,
Apex Beta,3,2,45.6,48.9,M,NA,Mature,NA,1938,NA,9/11/15 17:52,4/15/15,No,Onv,NA,0,M113,2v,NA,NA,792,793,5.065,66.635,14.251,85.08,3.3,7.3,3.8,72.7,0.126404671,
Apex Beta,3,2,48.9,52.1,M,NA,Mature,NA,1938,NA,9/11/15 17:54,4/15/15,Yes,Onv,NA,0,M114,2v,NA,NA,794,795,5.036,68.536,17.988,79.60,3.2,7.3,3.5,63.5,0.204086856,
Apex Beta,3,2,52.1,55.5,M,NA,Mature,NA,1938,NA,9/11/15 17:55,4/15/15,No,Onv,NA,0,NA,1v,NA,NA,796,797,5.021,75.45,18.229,81.25,3.4,7.3,3.6,69.9,0.188926962,Changes to Sedge peat
Apex Beta,3,2,55.5,58.7,M,NA,Mature,NA,1938,NA,9/11/15 17:56,4/15/15,No,Onv,NA,0,NA,1v,NA,NA,798,799,5.053,69.661,18.176,79.69,3.2,7.4,3.7,68.8,0.19070401,Sedge peat
Apex Beta,3,2,58.7,61.9,M,NA,Mature,NA,1938,NA,9/11/15 17:57,4/15/15,Yes,Onv,NA,0,M115,1v,NA,NA,800,801,5.073,67.922,18.256,79.02,3.2,7.3,3.7,68.1,0.193485932,Sedge peat
Apex Beta,3,2,61.9,65.2,M,NA,Mature,NA,1938,NA,9/11/15 17:59,4/15/15,Yes,Onv,NA,0,NA,NA,NA,NA,802,803,5.087,82.238,27.023,71.57,3.3,7.3,3.9,75.1,0.292181312,Sedge peat
Apex Beta,3,2,65.2,66.4,M,NA,Mature,NA,1938,NA,9/11/15 18:01,4/15/15,No,Onv,NA,0,NA,NA,NA,NA,804,805,5.096,18.222,9.377,67.39,1.2,NA,NA,NA,NA,Sedge peat
Apex Beta,3,3,66.4,67.4,M,NA,Mature,NA,1938,NA,9/11/15 18:09,4/15/15,No,Onv,NA,0,NA,NA,NA,NA,806,807,5.077,19.79,9.682,68.70,1,NA,NA,NA,NA,Sedge peat
Apex Beta,3,3,67.4,70.7,M,NA,Mature,NA,1938,NA,9/11/15 18:10,4/15/15,No,Onv,NA,0,NA,NA,NA,NA,808,809,5.045,74.194,19.001,79.82,3.3,7.2,3.8,71.9,0.194023661,Sedge peat
Apex Beta,3,3,70.7,73.7,M,NA,Mature,NA,1938,NA,9/11/15 18:10,4/15/15,No,Onv,NA,0,NA,NA,NA,NA,810,811,5.044,64.308,9.843,91.90,3,7.4,3.8,66.7,0.071914163,Sedge peat
Apex Beta,3,3,73.7,76.7,M,NA,Mature,NA,1938,NA,9/11/15 18:11,4/15/15,No,Onv,NA,0,NA,NA,NA,NA,812,813,5.086,67.26,11.394,89.85,3,7.3,3.8,66.1,0.0954819,Sedge peat
Apex Beta,3,3,76.7,79.7,M,NA,Mature,NA,1938,NA,9/11/15 18:11,4/15/15,No,Onv,NA,0,NA,NA,NA,NA,814,815,5.081,64.506,11.915,88.50,3,7.3,3.8,66.1,0.10344377,Sedge peat
Apex Beta,3,3,79.7,82.7,M,NA,Mature,NA,1938,NA,9/11/15 18:27,4/15/15,No,Onv,NA,0,NA,NA,NA,NA,816,817,5.069,64.273,11.472,89.18,3,7.3,3.8,66.1,0.09691988,Sedge peat
