Site,Crew,Core_number,Bag_number,Top_depth,Bottom_depth,Notes,Date,Creation_timestamp,Device::Device_name
Nenana Ridge,jh ko,3,6,86,105,,04/15/2015,04/15/2015 11:38:38,Jamie's iPad 
Nenana Ridge Bottom,jh ko,1,1,0,10,,04/13/2015,04/13/2015 12:06:27,Jamie's iPad 
Nenana Ridge Bottom,jh ko,1,2,10,24,,04/13/2015,04/13/2015 12:07:14,Jamie's iPad 
Nenana Ridge Bottom,jh ko,1,3,24,41,,04/13/2015,04/13/2015 12:07:38,Jamie's iPad 
Nenana Ridge Bottom,jh ko,1,4,92,111,,04/13/2015,04/13/2015 12:07:53,Jamie's iPad 
Nenana Ridge Bottom,jh ko,1,5,111,125,,04/13/2015,04/13/2015 12:08:09,Jamie's iPad 
Nenana Ridge Bottom,jh ko,1,6,125,128,,04/13/2015,04/13/2015 12:08:23,Jamie's iPad 
Nenana Ridge Bottom,jh ko,1,7,128,161,,04/13/2015,04/13/2015 12:08:36,Jamie's iPad 
Nenana Ridge Bottom,jh ko,1,8,41,92,out of order,04/13/2015,04/13/2015 12:13:02,Jamie's iPad 
Nenana Ridge Bottom,jh ko,1,9,161,185,,04/13/2015,04/13/2015 14:07:12,Jamie's iPad 
Nenana Ridge Bottom,jh ko,1,10,185,212,,04/13/2015,04/13/2015 14:07:39,Jamie's iPad 
Nenana Ridge Bottom,jh ko,2,1,0,10,,04/13/2015,04/13/2015 13:23:36,Jamie's iPad 
Nenana Ridge Bottom,jh ko,2,2,10,34,,04/13/2015,04/13/2015 13:24:49,Jamie's iPad 
Nenana Ridge Bottom,jh ko,2,3,34,61,,04/13/2015,04/13/2015 13:25:03,Jamie's iPad 
Nenana Ridge Bottom,jh ko,2,4,61,70,,04/13/2015,04/13/2015 13:25:30,Jamie's iPad 
Nenana Ridge Bottom,jh ko,2,5,70,88,,04/13/2015,04/13/2015 13:26:59,Jamie's iPad 
Nenana Ridge Bottom,jh ko,2,6,88,100,,04/13/2015,04/13/2015 13:27:12,Jamie's iPad 
Nenana Ridge Bottom,jh ko,2,7,100,130,,04/13/2015,04/13/2015 13:27:40,Jamie's iPad 
Nenana Ridge Bottom,jh ko,2,8,130,163,,04/13/2015,04/13/2015 13:53:10,Jamie's iPad 
Nenana Ridge Bottom,jh ko,3,1,0,9,,04/13/2015,04/13/2015 15:08:53,Jamie's iPad 
Nenana Ridge Bottom,jh ko,3,2,9,20,,04/13/2015,04/13/2015 15:09:13,Jamie's iPad 
Nenana Ridge Bottom,jh ko,3,3,20,47,,04/13/2015,04/13/2015 15:09:24,Jamie's iPad 
Nenana Ridge Bottom,jh ko,3,4,47,69,,04/13/2015,04/13/2015 15:09:37,Jamie's iPad 
