"fire_scar","fire_year","site","plot","tree.age","biomass.as","biomass.br","biomass.bp","biomass.bs","biomass.ws","biomass.unk.con","biomass","biomass.con","biomass.dec","density.as","density.br","density.bp","density.bs","density.ws","density.unk.con","density","study","cores_processed","postfire.age"
"Munson Creek",2021,126,"A",69,0,1897.63556686612,0,0,0,0,1897.63556686612,0,1897.63556686612,0,0.3,0,0,0,0,0.3,"FiSL","1",1
"Munson Creek",2021,126,"B",86,0,2987.9828313471,0,6.66253953335346,0,0,2994.64537088046,6.66253953335346,2987.9828313471,0,0.8,0,0.05,0,0,0.85,"FiSL","1",1
"Munson Creek",2021,126,"C",73,0,4025.62065512546,0,2731.97607234,0,0,6757.59672746546,2731.97607234,4025.62065512546,0,0.7,0,0.1,0,0,0.8,"FiSL","1",1
"Hess Creek",2019,7,"A",84,0,17573.1340079436,0,0,0,0,17573.1340079436,0,17573.1340079436,0,0.4,0,0,0,0,0.4,"FiSL","1",3
"Hess Creek",2019,7,"B",79,0,39637.7247630124,0,0,12.8035312885927,0,39650.528294301,12.8035312885927,39637.7247630124,0,0.3,0,0,0.05,0,0.35,"FiSL","1",3
"Shovel Creek",2019,23,"A",NA,0,11392.8592000521,0,0,15527.3903995143,0,26920.2495995664,15527.3903995143,11392.8592000521,0,0.1,0,0,0.1,0,0.2,"FiSL","1",3
"Shovel Creek",2019,23,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FiSL","1",3
"Shovel Creek",2019,23,"C",117,0,11130.90264822,0,0,7.49455301220227,0,11138.3972012323,7.49455301220227,11130.90264822,0,0.15,0,0,0.05,0,0.2,"FiSL","1",3
"Shovel Creek",2019,25,"A",122,1846.97035808067,0,0,425.046481344992,0,0,2272.01683942566,425.046481344992,1846.97035808067,0.1,0,0,0.05,0,0,0.15,"FiSL","1",3
"Shovel Creek",2019,25,"B",128,0,0,0,821.645487495371,0,0,821.645487495371,821.645487495371,0,0,0,0,0.05,0,0,0.05,"FiSL","1",3
"Shovel Creek",2019,25,"C",196,0,17615.0948121055,0,0,0,0,17615.0948121055,0,17615.0948121055,0,0.05,0,0,0,0,0.05,"FiSL","1",3
"Hess Creek",2019,7,"C",76,0,46483.3969707263,0,0,0,0,46483.3969707263,0,46483.3969707263,0,1.05,0,0,0,0,1.05,"FiSL","1",3
"Isom Creek",2020,80,"A",212,0,0,0,1243.51201114524,0,0,1243.51201114524,1243.51201114524,0,0,0,0,0.15,0,0,0.15,"FiSL","1",2
"Isom Creek",2020,80,"B",78,0,19976.5184164158,0,96.2693778659941,0,0,20072.7877942818,96.2693778659941,19976.5184164158,0,0.5,0,0.05,0,0,0.55,"FiSL","1",2
"Isom Creek",2020,80,"C",211,0,20040.0767734647,0,1214.39473407403,0,0,21254.4715075388,1214.39473407403,20040.0767734647,0,0.25,0,0.05,0,0,0.3,"FiSL","1",2
"2019BC005",2019,68,"A",86,6425.91652143762,0,0,0,0,0,6425.91652143762,0,6425.91652143762,0.35,0,0,0,0,0,0.35,"FiSL","1",3
"2019BC005",2019,68,"B",77,9776.14120362277,0,0,486.784945059235,0,0,10262.926148682,486.784945059235,9776.14120362277,0.55,0,0,0.1,0,0,0.65,"FiSL","1",3
"2019BC005",2019,68,"C",80,3136.54963309499,0,0,2508.04243892935,0,0,5644.59207202434,2508.04243892935,3136.54963309499,0.15,0,0,1.3,0,0,1.45,"FiSL","1",3
"Isom Creek",2020,81,"A",89,0,26258.079632506,0,0,0,0,26258.079632506,0,26258.079632506,0,0.65,0,0,0,0,0.65,"FiSL","1",2
"Isom Creek",2020,81,"B",85,0,1920.72568763501,0,0,325.204986417835,0,2245.93067405285,325.204986417835,1920.72568763501,0,0.2,0,0,0.45,0,0.65,"FiSL","1",2
"Isom Creek",2020,81,"C",83,0,1133.16123488141,0,0,0,11.3418866832306,1144.50312156464,11.3418866832306,1133.16123488141,0,0.05,0,0,0,0.05,0.1,"FiSL","1",2
